"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 07 11:01:42 UTC 2025","Tue Oct 07 11:01:43 UTC 2025","287","","com.fakeRestApi.tests.book.DeleteBooksTests","","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteWithoutIdShouldReturn405","checkDeleteWithoutIdShouldReturn405()","Verify DELETE /Books without specifying ID returns 405 Method Not Allowed"
"passed","Tue Oct 07 11:01:36 UTC 2025","Tue Oct 07 11:01:36 UTC 2025","269","","com.fakeRestApi.tests.book.CreateBooksTests","","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField","checkCreateBookWithSingleField(String) Create Book with only field: publishDate","Verify creating a Book with only one populated field behaves as expected"
"failed","Tue Oct 07 11:01:26 UTC 2025","Tue Oct 07 11:01:27 UTC 2025","902","","com.fakeRestApi.tests.author.UpdateAuthorsTests","","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestOnIdMismatch","checkShouldReturnBadRequestOnIdMismatch()","PUT /Authors/{id} should return 400 when body ID mismatches path ID"
"passed","Tue Oct 07 11:01:24 UTC 2025","Tue Oct 07 11:01:24 UTC 2025","294","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturn400","checkGetAuthorWithInvalidIdShouldReturn400(String) GET /Authors/! → should return 400 Bad Request","Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs"
"passed","Tue Oct 07 11:01:48 UTC 2025","Tue Oct 07 11:01:49 UTC 2025","867","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetAllBooksShouldReturnValidBooksList","checkGetAllBooksShouldReturnValidBooksList()","Verify GET /Books returns non-empty list and valid fields"
"passed","Tue Oct 07 11:01:34 UTC 2025","Tue Oct 07 11:01:34 UTC 2025","275","","com.fakeRestApi.tests.book.CreateBooksTests","","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithAllFields","checkUserCanCreateBookWithAllFields()","Verify that a user can create a book with all required fields and they are correctly returned"
"passed","Tue Oct 07 11:01:15 UTC 2025","Tue Oct 07 11:01:15 UTC 2025","282","","com.fakeRestApi.tests.author.CreateAuthorsTests","","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSingleField","checkCreateAuthorWithSingleField(String) Create author with single field: lastName","Verify creating author with only one populated field behaves as expected"
"failed","Tue Oct 07 11:01:31 UTC 2025","Tue Oct 07 11:01:32 UTC 2025","727","","com.fakeRestApi.tests.author.UpdateAuthorsTests","","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank","checkShouldReturnBadRequestWhenLastNameBlank(String) [1] ","PUT /Authors/{id} should return 400 when lastName is blank"
"passed","Tue Oct 07 11:01:16 UTC 2025","Tue Oct 07 11:01:16 UTC 2025","611","","com.fakeRestApi.tests.author.CreateAuthorsTests","","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateDuplicateAuthorIsAllowed","checkCreateDuplicateAuthorIsAllowed()","Verify that creating duplicate authors is allowed and returns same data (fake API behavior)"
"passed","Tue Oct 07 11:01:20 UTC 2025","Tue Oct 07 11:01:20 UTC 2025","279","","com.fakeRestApi.tests.author.DeleteAuthorsTests","","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturn400","checkDeleteInvalidAuthorIdShouldReturn400(String) DELETE /Authors/! should return 400 Bad Request","Verify that invalid author IDs return 400 Bad Request"
"passed","Tue Oct 07 11:01:15 UTC 2025","Tue Oct 07 11:01:16 UTC 2025","309","","com.fakeRestApi.tests.author.CreateAuthorsTests","","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSingleField","checkCreateAuthorWithSingleField(String) Create author with single field: idBook","Verify creating author with only one populated field behaves as expected"
"failed","Tue Oct 07 11:01:32 UTC 2025","Tue Oct 07 11:01:32 UTC 2025","710","","com.fakeRestApi.tests.author.UpdateAuthorsTests","","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank","checkShouldReturnBadRequestWhenLastNameBlank(String) [2]  ","PUT /Authors/{id} should return 400 when lastName is blank"
"passed","Tue Oct 07 11:01:35 UTC 2025","Tue Oct 07 11:01:35 UTC 2025","280","","com.fakeRestApi.tests.book.CreateBooksTests","","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField","checkCreateBookWithSingleField(String) Create Book with only field: title","Verify creating a Book with only one populated field behaves as expected"
"failed","Tue Oct 07 11:01:22 UTC 2025","Tue Oct 07 11:01:22 UTC 2025","314","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturn404","checkGetAuthorsByNonexistentBookIdShouldReturn404(String) GET /Authors/authors/books/0 → should return 404 for nonexistent book ID","Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books"
"passed","Tue Oct 07 11:01:34 UTC 2025","Tue Oct 07 11:01:34 UTC 2025","272","","com.fakeRestApi.tests.book.CreateBooksTests","","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithEmojiAndUnicode","checkCreateBookWithEmojiAndUnicode()","Create a book with emoji and unicode characters"
"broken","Tue Oct 07 11:01:21 UTC 2025","Tue Oct 07 11:01:21 UTC 2025","277","","com.fakeRestApi.tests.author.DeleteAuthorsTests","","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteWithoutIdShouldReturn405","checkDeleteWithoutIdShouldReturn405()","Verify DELETE /Authors without specifying ID returns 405 Method Not Allowed"
"passed","Tue Oct 07 11:01:24 UTC 2025","Tue Oct 07 11:01:24 UTC 2025","274","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturn400","checkGetAuthorWithInvalidIdShouldReturn400(String) GET /Authors/$ → should return 400 Bad Request","Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs"
"passed","Tue Oct 07 11:01:46 UTC 2025","Tue Oct 07 11:01:46 UTC 2025","286","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/ю should return 400 Bad Request","Verify GET /Books/{id} returns 400 Bad Request when ID is invalid"
"passed","Tue Oct 07 11:01:42 UTC 2025","Tue Oct 07 11:01:42 UTC 2025","283","","com.fakeRestApi.tests.book.DeleteBooksTests","","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/null should return 400 Bad Request","Verify that invalid book IDs return 400 Bad Request"
